featureKey,featureName,keywordList
baseball,Baseball Diamond,
basketball,Basketball Court,
bocce,Bocce Court,
cricket,Cricket,
discGolf,Disc Golf Course,frisbee
dogPark,Dog Park,
football,Football Field,
outdoorPool,Outdoor Pool,swimming
outdoorRink,Outdoor Skating Rink,ice
pickleBall,Pickleball Court,
playground,Playground,gym jungle park slides swings
soccer,Soccer Field,
tennis,Tennis Court,badminton
track,Track,
ultimateFrisbee,Ulimate Frisbee Field,disc
