parkKey,parkName,parkDescription,locationDescription,locationMapLink,locationLatitude,locationLongitude,websiteLink,websiteTitle
glenwood,Glenwood Park,,"Glenwood Avenue, off Chambers Avenue",,46.522837,-84.260174,"https://www.google.com/maps/@46.5228119,-84.2602428,3a,75y,208.32h,86.6t/data=!3m5!1e1!3m3!1s3ic3ga_I-ksAAAQfCOxlog!2e0!3e11",Photo Sphere (By Steven Veldt)
greenAcres,Green Acres Park,,"East Dunrobin Bay, off Tallack Boulevard",,46.557626,-84.357789,,
greenfield,Greenfield Park,,Greenfield Drive and Beaumont Avenue,,46.55453,-84.349508,"https://www.google.com/maps/@46.5546593,-84.3502748,3a,75y,104.65h,87.9t/data=!3m4!1e1!3m2!1sga71-VomVSeljMmaf7mQug!2e0",Google Street View
hamilton,Hamilton Park,,Hamilton Avenue and Fauquier Avenue,,46.512986,-84.322089,"https://www.google.com/maps/@46.5123536,-84.3222808,3a,75y,358.22h,84.15t/data=!3m4!1e1!3m2!1scd_9_hHkFBHH-WbUwXf_9Q!2e0",Google Street View
highland,Highland Park,,Blake Avenue at Champlain Avenue at Cameron,,46.526751,-84.321133,"https://www.google.com/maps/@46.5270078,-84.3211178,3a,75y,10h,90t/data=!3m5!1e1!3m3!1sISVSvIvgUV8AAAQXL_pMxQ!2e0!3e11",Photo Sphere (By Steven Veldt)
hillside,Hillside Park,,Hillside Drive off Peoples Road,,46.546002,-84.352363,,
jamesLyon,James Lyons Park,,John Street at Elm Avenue,,46.533246,-84.338926,"https://www.google.com/maps/@46.5335605,-84.341531,3a,75y,70.96h,87.01t/data=!3m4!1e1!3m2!1sQD6ykbaCF7Cs5Vj-tT-VjQ!2e0",Google Street View
johnRowswell,John Rowswell Park,Includes waterfront walkway (Hub Trail) and Outdoor Fitness Equipment.,Bay Street at East Street,,46.506025,-84.330888,"https://www.google.com/maps/@46.5060147,-84.3322106,3a,75y,211.44h,90.5t/data=!3m5!1e1!3m3!1sCZl7AbGW2jIAAAQXL_pMxA!2e0!3e11",Photo Sphere (By Steven Veldt)
johnStreet,John Street Park,,John Street near Cathcart Street,,46.521263,-84.343908,"https://www.google.com/maps/@46.521281,-84.3443126,3a,75y,88.08h,90.53t/data=!3m4!1e1!3m2!1sYF5az4nTcdeQ5o4QxyLmSw!2e0",Google Street View
joseph,Joseph Park,,Joseph Street at Country Club Place,,46.505671,-84.282289,"https://www.google.com/maps/@46.5055319,-84.28213,3a,75y,220.28h,91.21t/data=!3m5!1e1!3m3!1seGMssVH3uY4AAAQfCSyvUQ!2e0!3e11",Photo Sphere (By Steven Veldt)
korah,Korah Park,,Korah Road at Seventh Avenue,,46.53293,-84.362538,"https://www.google.com/maps/@46.5330253,-84.3618561,3a,75y,253.02h,87.59t/data=!3m4!1e1!3m2!1sZO58cnSXpT24vsgtgnJURA!2e0",Google Street View
lasalle,LaSalle Park,,LaSalle Court and Mary Avenue,,46.545452,-84.332611,"https://www.google.com/maps/@46.5458057,-84.3333719,3a,75y,141.29h,89.36t/data=!3m4!1e1!3m2!1s5ef6oqIC28_oK2BnyxAeEQ!2e0",Google Street View
laurentian,Laurentian Park,,Rossmore Road and Pond Street and Korah Road,,46.545487,-84.37314,"https://www.google.com/maps/@46.5444975,-84.3737254,3a,49.3y,7.07h,86.41t/data=!3m4!1e1!3m2!1sqQtyyPUOBtAP_f9d1-isFA!2e0",Google Street View
lennox,Lennox Park,,Lennox Avenue off Bainbridge Street,,46.537105,-84.347815,"https://www.google.com/maps/@46.537782,-84.3479357,3a,41.4y,162.67h,92.4t/data=!3m4!1e1!3m2!1shmBRFi5-zUFtAA8Eo_o2MA!2e0",Google Street View
littner,Littner Park,,Eastern Avenue,,46.520089,-84.265837,"https://www.google.com/maps/@46.51973,-84.26542,3a,75y,108.36h,86.37t/data=!3m5!1e1!3m3!1sE2viQvxKdgoAAAQfCOxloQ!2e0!3e11",Photo Sphere (By Steven Veldt)
macdonald,Macdonald Park,,End of Marconi Street,"https://www.google.ca/maps/@46.5185042,-84.2998159,18z",46.5185042,-84.2998159,"https://www.google.ca/maps/@46.5187964,-84.299714,3a,60y,190.71h,88.05t/data=!3m6!1e1!3m4!1sghugl5VpqKjNT-xj43xrhQ!2e0!7i13312!8i6656",Google Street View
manitou,Manitou Park,,Manitou Drive and Amy Avenue and Greene Street,,46.528415,-84.27253,"https://www.google.com/maps/@46.52846,-84.2724808,3a,75y,107h,90t/data=!3m5!1e1!3m3!1suXac5DcEvK8AAAQfCOxlow!2e0!3e11",Photo Sphere (By Steven Veldt)
manzo,Manzo Park,,Goetz Street and Young Street,,46.528616,-84.377263,"https://www.google.com/maps/@46.528849,-84.3781796,3a,75y,123.87h,87.29t/data=!3m4!1e1!3m2!1sYTbO8jEU6IIPkMQxV8uj3Q!2e0",Google Street View
mcmeeken,McMeeken Park,,Goulais Avenue off Second Line West,,46.54034,-84.38116,,
meadow,Meadow Park,,Meadow Park Crescent at Irwin Avenue,,46.512279,-84.286015,"https://www.google.com/maps/@46.5122528,-84.2860858,3a,75y,23.16h,90.17t/data=!3m5!1e1!3m3!1swgjYK_exNKIAAAQfCSyvTw!2e0!3e11",Google Street View
mikeZuke,Mike Zuke Park,,215 Pittsburgh Avenue at Young Street,,46.528796,-84.383347,"https://www.google.com/maps/@46.5291935,-84.383978,3a,75y,113.51h,88.02t/data=!3m4!1e1!3m2!1si2kn4ndPi7j0yh9vmcwu4Q!2e0",Google Street View
moffley,Moffley Park,,Wilson Street at Nino Drive,,46.525323,-84.33291,"https://www.google.com/maps/@46.5257278,-84.3327228,3a,75y,52.32h,90.3t/data=!3m5!1e1!3m3!1s-UeC-pP8x2cAAAQXL_pMvg!2e0!3e11",Photo Sphere (By Steven Veldt)
munroe,Munroe Park,,"East Balfour Street, north of Spadina",,46.534399,-84.38498,"https://www.google.com/maps/@46.5350013,-84.3824366,3a,75y,236.53h,89.25t/data=!3m4!1e1!3m2!1sO8UeKc0XzMFiff6zB2SYzQ!2e0",Google Street View
northernHeights,Northern Heights Park,,Grandhaven Crescent and Strand Avenue,,46.530195,-84.327703,"https://www.google.com/maps/@46.5302289,-84.3278919,3a,75y,106h,90t/data=!3m5!1e1!3m3!1sL62_BRQI07cAAAQXL_pMvQ!2e0!3e11",Photo Sphere (By Steven Veldt)
northStreet,North Street Park,,North Street at Bloor Street at York Street,,46.52694,-84.33956,"https://www.google.com/maps/@46.527193,-84.340326,3a,75y,102.89h,81.15t/data=!3m4!1e1!3m2!1sXpdE_zpF6c4vhqGJOOYzpg!2e0",Google Street View
parkland,Parkland Park,,Amber Street at Parkland Crescent at Weeks,,46.514672,-84.259207,"https://www.google.com/maps/@46.5146808,-84.2590578,3a,75y,359.81h,84.17t/data=!3m5!1e1!3m3!1sozLLAF-UPd0AAAQfCOxlnw!2e0!3e11",Photo Sphere (By Steven Veldt)
patrickStreet,Patrick Street Park,,Patrick Street at Bloor Street West at Carleton,,46.528149,-84.353164,"https://www.google.com/maps/@46.5292125,-84.3534001,3a,50.3y,170.92h,86.75t/data=!3m4!1e1!3m2!1sZQMBKobQlcuxbVHZ5izJqg!2e0",Google Street View
penhorwood,Penhorwood Park,,Pine Street at Macdonald Avenue,,46.516396,-84.30893,"https://www.google.com/maps/@46.5167478,-84.3096689,3a,75y,125.86h,81.88t/data=!3m5!1e1!3m3!1sob7y1qEMWeoAAAQXL_pMwg!2e0!3e11",Photo Sphere (By Steven Veldt)
pointeDesChenes,Pointe Des Chenes Beach and Campground,,Des Chenes Drive at Nokomis Beach Road,,46.474746,-84.52175,,
punkari,Punkari Park,,Manitou Drive across Greene Street,,46.527635,-84.277429,"https://www.google.com/maps/@46.5270023,-84.2762602,3a,47.7y,350.85h,86.7t/data=!3m4!1e1!3m2!1s2W7BYToFANV9ve1Aa-TfBA!2e0",Google Street View
queenElizabeth,Queen Elizabeth Park,,Elizabeth Street at McMeeken Street,,46.50795,-84.29988,,
retta,Retta Park,,Retta Street and Glenholme Drive,,46.5078,-84.292998,"https://www.google.com/maps/@46.5078739,-84.2928058,3a,75y,266.05h,87.87t/data=!3m5!1e1!3m3!1s8lciUvzw9NcAAAQfCSyvUA!2e0!3e11",Photo Sphere (By Steven Veldt)
robertaBondar,Roberta Bondar Park,,Foster Drive,,46.5086609,-84.3390167,"https://www.google.ca/maps/place/Roberta+Bondar+Park/@46.5091946,-84.3353947,3a,75y,251.81h,95.89t/data=!3m4!1e1!3m2!1snkQBZL0BLr0iRXwyvWHAMA!2e0!4m5!3m4!1s0x4d3639b594abfa3f:0x216dad28770116e!8m2!3d4",Google Street View
rosedale,Rosedale Park,,Chapple Street and Marwayne Avenue,,46.524919,-84.313353,"https://www.google.com/maps/@46.524616,-84.313278,3a,75y,292.73h,89.84t/data=!3m5!1e1!3m3!1sDwu-U_R4AOwAAAQWtN3LqA!2e0!3e11",Photo Sphere (By Steven Veldt)
rosita,Rosita Park,,Rosita Street at Ellis Road,,46.53188,-84.404525,"https://www.google.com/maps/@46.5316984,-84.4051317,3a,75y,71.28h,83.89t/data=!3m4!1e1!3m2!1su0Rd9nYqkhfnvpxkPnhXQw!2e0",Google Street View
ruthStreet,Ruth Street Park,,Ruth Street at dead end off Moody Street,,46.535937,-84.355523,"https://www.google.com/maps/@46.5356515,-84.3552487,3a,75y,335.44h,88.46t/data=!3m4!1e1!3m2!1scI1K_aq5ruVD83Sq96eFYA!2e0",Google Street View
snowdon,Snowdon Park,,Shannon Road at Florwin Drive,,46.502301,-84.28457,"https://www.google.com/maps/@46.5021778,-84.2843978,3a,75y,316.72h,88.26t/data=!3m5!1e1!3m3!1shPsdxoXtXNQAAAQfCSyvTg!2e0!3e11",Photo Sphere (By Steven Veldt)
stPatrick,St. Patrick Park,,St. Patrick Street across Holden Street,,46.547021,-84.34837,"https://www.google.com/maps/@46.5471127,-84.3489156,3a,75y,75.51h,86.84t/data=!3m4!1e1!3m2!1sOWXYEeDtWl3eTG3nbo-tOw!2e0",Google Street View
strathclair,Strathclair Park,,Second Line East at Black Road,"https://www.google.com/maps/@46.541403,-84.2916334,1385m/data=!3m1!1e3",46.542908,-84.294462,"https://www.google.com/maps/@46.5412816,-84.2919568,3a,75y,262.6h,82.69t/data=!3m4!1e1!3m2!1sqQbeuDXlG_iPXwkpu3HTlw!2e0",Google Street View
sunrise,Sunrise Ridge Park,,Park Place Court at Lake Street,,46.52441,-84.2926,"https://www.google.com/maps/@46.52441,-84.292575,3a,75y,244.55h,88.07t/data=!3m5!1e1!3m3!1stgiTa7Tfg2wAAAQfCOxloA!2e0!3e11",Photo Sphere (By Steven Veldt)
superior,Superior Park,,Superior Drive at Niagara Drive,,46.541688,-84.331281,"https://www.google.com/maps/@46.5419921,-84.330742,3a,48.6y,242.48h,88.73t/data=!3m4!1e1!3m2!1sKsq1TbLaczZQVuambRRptQ!2e0",Google Street View
sussex,Sussex Park,,Sussex Road east of Korah Road,,46.540028,-84.366244,"https://www.google.com/maps/@46.5397685,-84.3661659,3a,75y,353.62h,82.05t/data=!3m4!1e1!3m2!1sGgmkICoyshxLQLqZLij-cg!2e0",Google Street View
sutton,Sutton Park,,"Off Sutton Place, off Bristol Place, off Heath Road, off Texas Avenue",,46.513264,-84.277639,"https://www.google.com/maps/@46.5133089,-84.2776289,3a,75y,38.62h,84.29t/data=!3m5!1e1!3m3!1sqqRl9Vb0NxAAAAQfCSyvUw!2e0!3e11",Photo Sphere (By Steven Veldt)
upton,Upton Park,,Upton Road at The Drive,,46.511744,-84.31153,"https://www.google.com/maps/@46.5115133,-84.3113197,3a,48.7y,338.66h,89.54t/data=!3m4!1e1!3m2!1sQRaRPk7IT6MKOb48FTyOeQ!2e0",Google Street View
victoria,Victoria Park,,"Victoria Avenue between Upton Road and McGregor Avenue, off Edward Street",,46.507794,-84.310893,"https://www.google.com/maps/@46.5066719,-84.3114394,3a,47.6y,24.06h,82.99t/data=!3m4!1e1!3m2!1sTlEwagkVzKishktCPRMXsg!2e0",Google Street View
westwood,Westwood Park,,Newcastle Drive at Westgate Drive,,46.542411,-84.38639,"https://www.google.com/maps/@46.5426483,-84.3877957,3a,41.1y,100h,88.6t/data=!3m4!1e1!3m2!1sgNENsPgy8muzpw9pvLz_Mw!2e0",Google Street View
wilcox,Wilcox Park,,Wilcox Avenue between Spruce Street and Maple Street,,46.522091,-84.334537,"https://www.google.com/maps/@46.5216378,-84.3343789,3a,75y,345.63h,88.12t/data=!3m5!1e1!3m3!1sE67RPHvIrzsAAAQfCS1BLw!2e0!3e11",Photo Sphere (By Steven Veldt)
williamMerrifield,William Merrifield Park,,Patrick Street,,46.533093,-84.354075,"https://www.google.ca/maps/@46.5333671,-84.3530087,3a,75y,268.83h,85.16t/data=!3m6!1e1!3m4!1shTulpi0IJmKHOTBcYbpedw!2e0!7i13312!8i6656",Google Street View
windsorFarms,Windsor Farms Park,,52 Foxborough Trail,,46.5484617,-84.305749,"https://www.google.ca/maps/place/52+Foxborough+Trail,+Sault+Ste.+Marie,+ON+P6B+0A5/@46.5484617,-84.305749,3a,75y,85.8h,91.97t/data=!3m7!1e1!3m5!1sS_3Zpy4w0t6uKVWAzFeMVw!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcb",Google Street View
winfield,Winfield Park,,Winfield Drive at Arbor Drive at Alpine Street,,46.538845,-84.39206,,
wishart,Wishart Park,,Fourth Line East,,46.5676976,-84.2995732,"https://www.google.ca/maps/@46.5676421,-84.2973395,3a,15y,152.29h,83.46t/data=!3m6!1e1!3m4!1sVpn8BbH2ixIvuZwNv_kFQQ!6s%2F%2Fgeo2.ggpht.com%2Fmaps%2Fphotothumb%2Ffd%2Fv1%3Fbpb%3DChAKDnNlYXJjaC5UQUNUSUx",Google Street View
